sep=	
No. 	Hole  Pos.	Weight  [mg]	Name  	Method  	N  Area	N  [%]	N [mg]	N  Factor	N  Blank	Protein  [%]	Protein [mg]	Protein  Factor	Moisture  [%]	Memo  	Info  	Date       Time  	
1	1	0.01	Blnk	blank [O2]	324	0.000	0.000	1.0000	324	0.000	0.000	5.7000	0.00			30.12.2024 12:13:00	
2	1	0.01	Blnk	blank [O2]	140	0.000	0.000	1.0000	140	0.000	0.000	5.7000	0.00			30.12.2024 12:19:05	
3	2	251.20	RunIn	cereals	22675	3.508	8.812	1.0000	0	19.996	50.231	5.7000	0.00			30.12.2024 12:26:31	
4	3	199.90	aspartic acid	cereals	54770	10.520	21.029	0.9772	0	59.964	119.868	5.7000	0.00			30.12.2024 12:32:51	
5	4	200.30	aspartic acid	cereals	54798	10.520	21.072	0.9787	0	59.964	120.108	5.7000	0.00			30.12.2024 12:39:05	
6	5	200.00	aspartic acid	cereals	54849	10.520	21.040	0.9763	0	59.964	119.928	5.7000	0.00			30.12.2024 12:45:16	
7	6	199.70	ref_asp	cereals	54852	10.548	21.065	0.9774	0	60.125	120.070	5.7000	0.00			30.12.2024 12:51:30	
8	7	404.50	SE5001193	cereals	20511	1.922	7.776	0.9774	0	10.958	44.323	5.7000	0.00			30.12.2024 12:57:35	
9	8	392.40	SE5001193	cereals	19750	1.907	7.482	0.9774	0	10.868	42.645	5.7000	0.00			30.12.2024 13:03:39	
10	9	404.30	SE5001193	cereals	20623	1.934	7.819	0.9774	0	11.024	44.571	5.7000	0.00			30.12.2024 13:09:44	
11	10	394.10	SE5001194	cereals	22572	2.176	8.574	0.9774	0	12.400	48.870	5.7000	0.00			30.12.2024 13:15:48	
12	11	406.40	SE5001194	cereals	23216	2.171	8.823	0.9774	0	12.374	50.290	5.7000	0.00			30.12.2024 13:22:00	
13	12	406.20	SE5001194	cereals	23305	2.181	8.857	0.9774	0	12.429	50.487	5.7000	0.00			30.12.2024 13:28:04	
14	13	399.30	SE5001195	cereals	21073	2.002	7.993	0.9774	0	11.411	45.563	5.7000	0.00			30.12.2024 13:34:09	
15	14	398.40	SE5001195	cereals	20920	1.992	7.934	0.9774	0	11.352	45.226	5.7000	0.00			30.12.2024 13:40:11	
16	15	395.90	SE5001195	cereals	20931	2.005	7.939	0.9774	0	11.430	45.250	5.7000	0.00			30.12.2024 13:46:17	
17	16	400.80	SE5001196	cereals	20725	1.961	7.859	0.9774	0	11.177	44.796	5.7000	0.00			30.12.2024 13:52:21	
18	17	393.10	SE5001196	cereals	20262	1.954	7.680	0.9774	0	11.135	43.773	5.7000	0.00			30.12.2024 13:58:27	
19	18	397.90	SE5001196	cereals	20536	1.957	7.786	0.9774	0	11.153	44.378	5.7000	0.00			30.12.2024 14:04:32	
20	19	396.50	SE5001197	cereals	20529	1.963	7.783	0.9774	0	11.189	44.364	5.7000	0.00			30.12.2024 14:10:38	
21	20	393.30	SE5001197	cereals	20764	2.002	7.874	0.9774	0	11.412	44.882	5.7000	0.00			30.12.2024 14:16:44	
22	22	394.50	SE5001197	cereals	21172	2.036	8.032	0.9774	0	11.605	45.782	5.7000	0.00			30.12.2024 14:22:55	
23	23	407.10	SE5001198	cereals	20667	1.925	7.837	0.9774	0	10.972	44.668	5.7000	0.00			30.12.2024 14:28:58	
24	24	392.80	SE5001198	cereals	20683	1.997	7.843	0.9774	0	11.381	44.704	5.7000	0.00			30.12.2024 14:35:07	
25	25	401.40	SE5001198	cereals	20995	1.984	7.963	0.9774	0	11.308	45.392	5.7000	0.00			30.12.2024 14:41:12	
26	26	391.50	SE5001199	cereals	21122	2.047	8.012	0.9774	0	11.666	45.671	5.7000	0.00			30.12.2024 14:47:21	
27	27	393.50	SE5001199	cereals	21176	2.042	8.034	0.9774	0	11.637	45.791	5.7000	0.00			30.12.2024 14:53:33	
28	28	392.50	SE5001199	cereals	21860	2.114	8.298	0.9774	0	12.050	47.298	5.7000	0.00			30.12.2024 14:59:43	
29	29	405.50	SE5001200	cereals	21231	1.986	8.055	0.9774	0	11.322	45.913	5.7000	0.00			30.12.2024 15:05:48	
30	30	394.30	SE5001200	cereals	21250	2.045	8.062	0.9774	0	11.654	45.953	5.7000	0.00			30.12.2024 15:11:59	
31	31	394.20	SE5001200	cereals	20765	1.998	7.874	0.9774	0	11.386	44.883	5.7000	0.00			30.12.2024 15:18:09	
32	32	396.00	SE5001201	cereals	20923	2.004	7.936	0.9774	0	11.422	45.233	5.7000	0.00			30.12.2024 15:24:23	
33	33	398.10	SE5001201	cereals	20993	2.000	7.963	0.9774	0	11.401	45.386	5.7000	0.00			30.12.2024 15:30:31	
34	34	398.20	SE5001201	cereals	22234	2.120	8.443	0.9774	0	12.086	48.124	5.7000	0.00			30.12.2024 15:36:42	
35	35	399.60	SE5001202	cereals	21675	2.059	8.227	0.9774	0	11.735	46.891	5.7000	0.00			30.12.2024 15:42:49	
36	36	392.00	SE5001202	cereals	21507	2.082	8.161	0.9774	0	11.867	46.520	5.7000	0.00			30.12.2024 15:49:05	
37	37	395.50	SE5001202	cereals	20968	2.011	7.953	0.9774	0	11.462	45.333	5.7000	0.00			30.12.2024 15:55:13	
38	38	392.40	SE5001203	cereals	21126	2.042	8.014	0.9774	0	11.641	45.680	5.7000	0.00			30.12.2024 16:01:51	
39	39	407.50	SE5001203	cereals	21120	1.966	8.012	0.9774	0	11.207	45.667	5.7000	0.00			30.12.2024 16:08:00	
40	40	395.80	SE5001203	cereals	21500	2.061	8.159	0.9774	0	11.750	46.506	5.7000	0.00			30.12.2024 16:14:13	
41	41	406.80	SE5001204	cereals	21420	1.998	8.128	0.9774	0	11.388	46.328	5.7000	0.00			30.12.2024 16:20:22	
42	42	405.00	SE5001204	cereals	20785	1.946	7.882	0.9774	0	11.093	44.927	5.7000	0.00			30.12.2024 16:26:30	
43	43	406.10	SE5001204	cereals	22965	2.149	8.726	0.9774	0	12.247	49.737	5.7000	0.00			30.12.2024 16:32:38	
44	44	401.50	SE5001205	cereals	23162	2.192	8.802	0.9774	0	12.496	50.171	5.7000	0.00			30.12.2024 16:38:45	
45	45	406.80	SE5001205	cereals	22922	2.141	8.709	0.9774	0	12.203	49.641	5.7000	0.00			30.12.2024 16:44:50	
46	46	405.90	SE5001205	cereals	22392	2.095	8.504	0.9774	0	11.942	48.472	5.7000	0.00			30.12.2024 16:50:55	
47	47	395.70	SE5001206	cereals	22632	2.173	8.597	0.9774	0	12.384	49.002	5.7000	0.00			30.12.2024 16:57:03	
48	48	398.40	SE5001206	cereals	22229	2.119	8.441	0.9774	0	12.077	48.114	5.7000	0.00			30.12.2024 17:03:15	
49	49	392.40	SE5001206	cereals	22100	2.138	8.391	0.9774	0	12.189	47.828	5.7000	0.00			30.12.2024 17:09:23	
50	50	400.30	SE5001207	cereals	21849	2.072	8.294	0.9774	0	11.810	47.276	5.7000	0.00			30.12.2024 17:15:34	
51	51	392.60	SE5001207	cereals	22741	2.200	8.639	0.9774	0	12.542	49.241	5.7000	0.00			30.12.2024 17:21:58	
52	52	407.00	SE5001207	cereals	22497	2.099	8.545	0.9774	0	11.967	48.705	5.7000	0.00			30.12.2024 17:28:07	
53	53	402.50	SE5001208	cereals	22633	2.136	8.597	0.9774	0	12.175	49.005	5.7000	0.00			30.12.2024 17:34:21	
54	54	404.30	SE5001208	cereals	22735	2.136	8.637	0.9774	0	12.176	49.229	5.7000	0.00			30.12.2024 17:40:35	
55	55	407.20	SE5001208	cereals	21888	2.040	8.309	0.9774	0	11.631	47.360	5.7000	0.00			30.12.2024 17:46:40	
56	56	393.60	SE5001209	cereals	21877	2.110	8.305	0.9774	0	12.027	47.337	5.7000	0.00			30.12.2024 17:52:53	
57	57	392.90	SE5001209	cereals	21703	2.097	8.237	0.9774	0	11.951	46.954	5.7000	0.00			30.12.2024 17:58:56	
58	58	392.30	SE5001209	cereals	23126	2.240	8.788	0.9774	0	12.768	50.091	5.7000	0.00			30.12.2024 18:05:10	
59	59	407.90	SE5001210	cereals	22378	2.084	8.499	0.9774	0	11.876	48.442	5.7000	0.00			30.12.2024 18:11:15	
60	60	393.70	SE5001210	cereals	22670	2.187	8.612	0.9774	0	12.468	49.086	5.7000	0.00			30.12.2024 18:17:25	
61	61	398.90	SE5001210	cereals	22331	2.126	8.480	0.9774	0	12.118	48.338	5.7000	0.00			30.12.2024 18:23:34	
62	62	396.90	SE5001212	cereals	22189	2.123	8.425	0.9774	0	12.100	48.024	5.7000	0.00			30.12.2024 18:29:46	
63	63	394.30	SE5001212	cereals	22673	2.184	8.613	0.9774	0	12.451	49.093	5.7000	0.00			30.12.2024 18:35:51	
64	64	402.30	SE5001212	cereals	23299	2.201	8.855	0.9774	0	12.546	50.473	5.7000	0.00			30.12.2024 18:41:56	
65	65	403.80	SE5001213	cereals	23076	2.172	8.769	0.9774	0	12.378	49.982	5.7000	0.00			30.12.2024 18:48:00	
66	66	398.10	SE5001213	cereals	23400	2.234	8.894	0.9774	0	12.734	50.695	5.7000	0.00			30.12.2024 18:54:06		 	
